id,v1_id,user_id,created_at,updated_at,start,end,timezone_offset,sport_name,score_state,sport_id,score_strain,score_average_heart_rate,score_max_heart_rate,score_kilojoule,score_percent_recorded,score_distance_meter,score_altitude_gain_meter,score_altitude_change_meter,score_zone_durations.zone_zero_milli,score_zone_durations.zone_one_milli,score_zone_durations.zone_two_milli,score_zone_durations.zone_three_milli,score_zone_durations.zone_four_milli,score_zone_durations.zone_five_milli,duration_hr,energy_kcal,week
a03e9101-8aac-4ebb-96fa-6cf2b72d7fb5,,22458861,2025-10-23T14:49:32.543Z,2025-10-23T14:49:37.084Z,2025-10-23 13:39:00.214000+00:00,2025-10-23 14:29:59.090000+00:00,+01:00,walking,SCORED,63,7.2521873,117,157,787.08026,1.0,,,,481651,2113914,447969,15381,0,0,0.8496877777777778,188.11669694072657,2025-10-20
a11d7161-5862-41dd-bce7-8ca6bbbdf3ca,,22458861,2025-10-22T05:42:03.496Z,2025-10-22T05:42:19.481Z,2025-10-22 05:00:17.722000+00:00,2025-10-22 05:42:02.901000+00:00,+01:00,functional-fitness,SCORED,48,10.734744,133,177,1068.9421,1.0,,,,436472,533526,544098,756544,234562,0,0.6958830555555556,255.48329349904395,2025-10-20
b492d1b9-2e6f-46b4-abde-962c18e89a80,,22458861,2025-10-20T16:31:23.146Z,2025-10-20T16:31:27.138Z,2025-10-20 15:42:00.573000+00:00,2025-10-20 16:16:29.304000+00:00,+02:00,walking,SCORED,63,4.939457,103,133,307.02557,1.0,,,,1079553,989217,0,0,0,0,0.5746475000000001,73.3808723709369,2025-10-20
012ba0be-0869-4555-8cbd-a6d34e56f2a2,,22458861,2025-10-19T16:49:56.409Z,2025-10-19T16:50:00.596Z,2025-10-19 15:36:00.121000+00:00,2025-10-19 16:29:59.723000+00:00,+02:00,functional-fitness,SCORED,48,14.221349,145,187,1688.7548,1.0,,,,83672,1262196,170155,366251,1168633,188734,0.8998894444444444,403.62208413001906,2025-10-13
9a1871d8-76b3-4eec-8db1-335aa85883dc,,22458861,2025-10-18T07:32:15.663Z,2025-10-18T07:32:21.278Z,2025-10-18 06:45:16.550000+00:00,2025-10-18 07:32:14.885000+00:00,+02:00,functional-fitness,SCORED,48,14.307911,153,192,1712.3416,1.0,,,,163462,119200,375868,1119929,886321,153809,0.7828708333333333,409.25946462715103,2025-10-13
24b104bd-051b-45bd-943d-e87fe3d39136,,22458861,2025-10-16T16:43:59.898Z,2025-10-16T16:44:03.936Z,2025-10-16 15:31:30.442000+00:00,2025-10-16 16:25:29.082000+00:00,+02:00,functional-fitness,SCORED,48,13.937472,141,185,1598.2722,1.0,,,,253824,1122804,182650,507571,993026,178804,0.8996222222222222,381.996223709369,2025-10-13
bfd17e43-beae-4a4e-92aa-be2b8dcab887,,22458861,2025-11-10T15:37:38.452Z,2025-11-10T15:37:43.015Z,2025-11-10 15:06:00.411000+00:00,2025-11-10 15:22:29.595000+00:00,+01:00,walking,SCORED,63,4.9644537,118,142,257.0766,1.0,,,,144196,841182,3845,0,0,0,0.2747733333333333,61.44278202676864,2025-11-10
951ade3a-c2e5-4bfc-b1d2-c8a44e202f94,,22458861,2025-11-09T10:16:47.416Z,2025-11-09T10:17:00.972Z,2025-11-09 09:30:39.462000+00:00,2025-11-09 10:16:46.642000+00:00,+01:00,functional-fitness,SCORED,48,14.071591,153,185,1654.3557,1.0,,,,51949,405672,378751,853641,892096,184569,0.768661111111111,395.4005019120459,2025-11-03
73fe7a0d-9767-4365-ae9a-48677f0dc83d,,22458861,2025-11-07T09:22:52.619Z,2025-11-07T09:22:57.224Z,2025-11-07 07:46:30.189000+00:00,2025-11-07 09:02:59.464000+00:00,+01:00,functional-fitness,SCORED,48,15.756347,147,191,2469.9192,1.0,,,,188455,1077623,768082,1166071,1038205,350878,1.274798611111111,590.3248565965582,2025-11-03
1a22bfb0-fc99-4585-aa9f-9763bedc0020,,22458861,2025-10-27T18:20:37.885Z,2025-10-27T18:20:42.696Z,2025-10-27 17:27:00.370000+00:00,2025-10-27 18:07:29.591000+00:00,+01:00,functional-fitness,SCORED,48,13.794135,144,200,1275.7771,1.0,,,,625848,156694,170152,378756,530635,567174,0.6747836111111111,304.91804493307836,2025-10-27
a03e9101-8aac-4ebb-96fa-6cf2b72d7fb5,,22458861,2025-10-23T14:49:32.543Z,2025-10-23T14:49:37.084Z,2025-10-23 13:39:00.214000+00:00,2025-10-23 14:29:59.090000+00:00,+01:00,walking,SCORED,63,7.2521873,117,157,787.08026,1.0,,,,481651,2113914,447969,15381,0,0,0.8496877777777778,188.11669694072657,2025-10-20
a11d7161-5862-41dd-bce7-8ca6bbbdf3ca,,22458861,2025-10-22T05:42:03.496Z,2025-10-22T05:42:19.481Z,2025-10-22 05:00:17.722000+00:00,2025-10-22 05:42:02.901000+00:00,+01:00,functional-fitness,SCORED,48,10.734744,133,177,1068.9421,1.0,,,,436472,533526,544098,756544,234562,0,0.6958830555555556,255.48329349904395,2025-10-20
b492d1b9-2e6f-46b4-abde-962c18e89a80,,22458861,2025-10-20T16:31:23.146Z,2025-10-20T16:31:27.138Z,2025-10-20 15:42:00.573000+00:00,2025-10-20 16:16:29.304000+00:00,+02:00,walking,SCORED,63,4.939457,103,133,307.02557,1.0,,,,1079553,989217,0,0,0,0,0.5746475000000001,73.3808723709369,2025-10-20
012ba0be-0869-4555-8cbd-a6d34e56f2a2,,22458861,2025-10-19T16:49:56.409Z,2025-10-19T16:50:00.596Z,2025-10-19 15:36:00.121000+00:00,2025-10-19 16:29:59.723000+00:00,+02:00,functional-fitness,SCORED,48,14.221349,145,187,1688.7548,1.0,,,,83672,1262196,170155,366251,1168633,188734,0.8998894444444444,403.62208413001906,2025-10-13
9a1871d8-76b3-4eec-8db1-335aa85883dc,,22458861,2025-10-18T07:32:15.663Z,2025-10-18T07:32:21.278Z,2025-10-18 06:45:16.550000+00:00,2025-10-18 07:32:14.885000+00:00,+02:00,functional-fitness,SCORED,48,14.307911,153,192,1712.3416,1.0,,,,163462,119200,375868,1119929,886321,153809,0.7828708333333333,409.25946462715103,2025-10-13
24b104bd-051b-45bd-943d-e87fe3d39136,,22458861,2025-10-16T16:43:59.898Z,2025-10-16T16:44:03.936Z,2025-10-16 15:31:30.442000+00:00,2025-10-16 16:25:29.082000+00:00,+02:00,functional-fitness,SCORED,48,13.937472,141,185,1598.2722,1.0,,,,253824,1122804,182650,507571,993026,178804,0.8996222222222222,381.996223709369,2025-10-13
bfd17e43-beae-4a4e-92aa-be2b8dcab887,,22458861,2025-11-10T15:37:38.452Z,2025-11-10T15:37:43.015Z,2025-11-10 15:06:00.411000+00:00,2025-11-10 15:22:29.595000+00:00,+01:00,walking,SCORED,63,4.9644537,118,142,257.0766,1.0,,,,144196,841182,3845,0,0,0,0.2747733333333333,61.44278202676864,2025-11-10
951ade3a-c2e5-4bfc-b1d2-c8a44e202f94,,22458861,2025-11-09T10:16:47.416Z,2025-11-09T10:17:00.972Z,2025-11-09 09:30:39.462000+00:00,2025-11-09 10:16:46.642000+00:00,+01:00,functional-fitness,SCORED,48,14.071591,153,185,1654.3557,1.0,,,,51949,405672,378751,853641,892096,184569,0.768661111111111,395.4005019120459,2025-11-03
73fe7a0d-9767-4365-ae9a-48677f0dc83d,,22458861,2025-11-07T09:22:52.619Z,2025-11-07T09:22:57.224Z,2025-11-07 07:46:30.189000+00:00,2025-11-07 09:02:59.464000+00:00,+01:00,functional-fitness,SCORED,48,15.756347,147,191,2469.9192,1.0,,,,188455,1077623,768082,1166071,1038205,350878,1.274798611111111,590.3248565965582,2025-11-03
1a22bfb0-fc99-4585-aa9f-9763bedc0020,,22458861,2025-10-27T18:20:37.885Z,2025-10-27T18:20:42.696Z,2025-10-27 17:27:00.370000+00:00,2025-10-27 18:07:29.591000+00:00,+01:00,functional-fitness,SCORED,48,13.794135,144,200,1275.7771,1.0,,,,625848,156694,170152,378756,530635,567174,0.6747836111111111,304.91804493307836,2025-10-27
a03e9101-8aac-4ebb-96fa-6cf2b72d7fb5,,22458861,2025-10-23T14:49:32.543Z,2025-10-23T14:49:37.084Z,2025-10-23 13:39:00.214000+00:00,2025-10-23 14:29:59.090000+00:00,+01:00,walking,SCORED,63,7.2521873,117,157,787.08026,1.0,,,,481651,2113914,447969,15381,0,0,0.8496877777777778,188.11669694072657,2025-10-20
a11d7161-5862-41dd-bce7-8ca6bbbdf3ca,,22458861,2025-10-22T05:42:03.496Z,2025-10-22T05:42:19.481Z,2025-10-22 05:00:17.722000+00:00,2025-10-22 05:42:02.901000+00:00,+01:00,functional-fitness,SCORED,48,10.734744,133,177,1068.9421,1.0,,,,436472,533526,544098,756544,234562,0,0.6958830555555556,255.48329349904395,2025-10-20
b492d1b9-2e6f-46b4-abde-962c18e89a80,,22458861,2025-10-20T16:31:23.146Z,2025-10-20T16:31:27.138Z,2025-10-20 15:42:00.573000+00:00,2025-10-20 16:16:29.304000+00:00,+02:00,walking,SCORED,63,4.939457,103,133,307.02557,1.0,,,,1079553,989217,0,0,0,0,0.5746475000000001,73.3808723709369,2025-10-20
012ba0be-0869-4555-8cbd-a6d34e56f2a2,,22458861,2025-10-19T16:49:56.409Z,2025-10-19T16:50:00.596Z,2025-10-19 15:36:00.121000+00:00,2025-10-19 16:29:59.723000+00:00,+02:00,functional-fitness,SCORED,48,14.221349,145,187,1688.7548,1.0,,,,83672,1262196,170155,366251,1168633,188734,0.8998894444444444,403.62208413001906,2025-10-13
9a1871d8-76b3-4eec-8db1-335aa85883dc,,22458861,2025-10-18T07:32:15.663Z,2025-10-18T07:32:21.278Z,2025-10-18 06:45:16.550000+00:00,2025-10-18 07:32:14.885000+00:00,+02:00,functional-fitness,SCORED,48,14.307911,153,192,1712.3416,1.0,,,,163462,119200,375868,1119929,886321,153809,0.7828708333333333,409.25946462715103,2025-10-13
24b104bd-051b-45bd-943d-e87fe3d39136,,22458861,2025-10-16T16:43:59.898Z,2025-10-16T16:44:03.936Z,2025-10-16 15:31:30.442000+00:00,2025-10-16 16:25:29.082000+00:00,+02:00,functional-fitness,SCORED,48,13.937472,141,185,1598.2722,1.0,,,,253824,1122804,182650,507571,993026,178804,0.8996222222222222,381.996223709369,2025-10-13
bfd17e43-beae-4a4e-92aa-be2b8dcab887,,22458861,2025-11-10T15:37:38.452Z,2025-11-10T15:37:43.015Z,2025-11-10 15:06:00.411000+00:00,2025-11-10 15:22:29.595000+00:00,+01:00,walking,SCORED,63,4.9644537,118,142,257.0766,1.0,,,,144196,841182,3845,0,0,0,0.2747733333333333,61.44278202676864,2025-11-10
951ade3a-c2e5-4bfc-b1d2-c8a44e202f94,,22458861,2025-11-09T10:16:47.416Z,2025-11-09T10:17:00.972Z,2025-11-09 09:30:39.462000+00:00,2025-11-09 10:16:46.642000+00:00,+01:00,functional-fitness,SCORED,48,14.071591,153,185,1654.3557,1.0,,,,51949,405672,378751,853641,892096,184569,0.768661111111111,395.4005019120459,2025-11-03
73fe7a0d-9767-4365-ae9a-48677f0dc83d,,22458861,2025-11-07T09:22:52.619Z,2025-11-07T09:22:57.224Z,2025-11-07 07:46:30.189000+00:00,2025-11-07 09:02:59.464000+00:00,+01:00,functional-fitness,SCORED,48,15.756347,147,191,2469.9192,1.0,,,,188455,1077623,768082,1166071,1038205,350878,1.274798611111111,590.3248565965582,2025-11-03
1a22bfb0-fc99-4585-aa9f-9763bedc0020,,22458861,2025-10-27T18:20:37.885Z,2025-10-27T18:20:42.696Z,2025-10-27 17:27:00.370000+00:00,2025-10-27 18:07:29.591000+00:00,+01:00,functional-fitness,SCORED,48,13.794135,144,200,1275.7771,1.0,,,,625848,156694,170152,378756,530635,567174,0.6747836111111111,304.91804493307836,2025-10-27
a03e9101-8aac-4ebb-96fa-6cf2b72d7fb5,,22458861,2025-10-23T14:49:32.543Z,2025-10-23T14:49:37.084Z,2025-10-23 13:39:00.214000+00:00,2025-10-23 14:29:59.090000+00:00,+01:00,walking,SCORED,63,7.2521873,117,157,787.08026,1.0,,,,481651,2113914,447969,15381,0,0,0.8496877777777778,188.11669694072657,2025-10-20
a11d7161-5862-41dd-bce7-8ca6bbbdf3ca,,22458861,2025-10-22T05:42:03.496Z,2025-10-22T05:42:19.481Z,2025-10-22 05:00:17.722000+00:00,2025-10-22 05:42:02.901000+00:00,+01:00,functional-fitness,SCORED,48,10.734744,133,177,1068.9421,1.0,,,,436472,533526,544098,756544,234562,0,0.6958830555555556,255.48329349904395,2025-10-20
b492d1b9-2e6f-46b4-abde-962c18e89a80,,22458861,2025-10-20T16:31:23.146Z,2025-10-20T16:31:27.138Z,2025-10-20 15:42:00.573000+00:00,2025-10-20 16:16:29.304000+00:00,+02:00,walking,SCORED,63,4.939457,103,133,307.02557,1.0,,,,1079553,989217,0,0,0,0,0.5746475000000001,73.3808723709369,2025-10-20
012ba0be-0869-4555-8cbd-a6d34e56f2a2,,22458861,2025-10-19T16:49:56.409Z,2025-10-19T16:50:00.596Z,2025-10-19 15:36:00.121000+00:00,2025-10-19 16:29:59.723000+00:00,+02:00,functional-fitness,SCORED,48,14.221349,145,187,1688.7548,1.0,,,,83672,1262196,170155,366251,1168633,188734,0.8998894444444444,403.62208413001906,2025-10-13
9a1871d8-76b3-4eec-8db1-335aa85883dc,,22458861,2025-10-18T07:32:15.663Z,2025-10-18T07:32:21.278Z,2025-10-18 06:45:16.550000+00:00,2025-10-18 07:32:14.885000+00:00,+02:00,functional-fitness,SCORED,48,14.307911,153,192,1712.3416,1.0,,,,163462,119200,375868,1119929,886321,153809,0.7828708333333333,409.25946462715103,2025-10-13
24b104bd-051b-45bd-943d-e87fe3d39136,,22458861,2025-10-16T16:43:59.898Z,2025-10-16T16:44:03.936Z,2025-10-16 15:31:30.442000+00:00,2025-10-16 16:25:29.082000+00:00,+02:00,functional-fitness,SCORED,48,13.937472,141,185,1598.2722,1.0,,,,253824,1122804,182650,507571,993026,178804,0.8996222222222222,381.996223709369,2025-10-13
bfd17e43-beae-4a4e-92aa-be2b8dcab887,,22458861,2025-11-10T15:37:38.452Z,2025-11-10T15:37:43.015Z,2025-11-10 15:06:00.411000+00:00,2025-11-10 15:22:29.595000+00:00,+01:00,walking,SCORED,63,4.9644537,118,142,257.0766,1.0,,,,144196,841182,3845,0,0,0,0.2747733333333333,61.44278202676864,2025-11-10
951ade3a-c2e5-4bfc-b1d2-c8a44e202f94,,22458861,2025-11-09T10:16:47.416Z,2025-11-09T10:17:00.972Z,2025-11-09 09:30:39.462000+00:00,2025-11-09 10:16:46.642000+00:00,+01:00,functional-fitness,SCORED,48,14.071591,153,185,1654.3557,1.0,,,,51949,405672,378751,853641,892096,184569,0.768661111111111,395.4005019120459,2025-11-03
73fe7a0d-9767-4365-ae9a-48677f0dc83d,,22458861,2025-11-07T09:22:52.619Z,2025-11-07T09:22:57.224Z,2025-11-07 07:46:30.189000+00:00,2025-11-07 09:02:59.464000+00:00,+01:00,functional-fitness,SCORED,48,15.756347,147,191,2469.9192,1.0,,,,188455,1077623,768082,1166071,1038205,350878,1.274798611111111,590.3248565965582,2025-11-03
1a22bfb0-fc99-4585-aa9f-9763bedc0020,,22458861,2025-10-27T18:20:37.885Z,2025-10-27T18:20:42.696Z,2025-10-27 17:27:00.370000+00:00,2025-10-27 18:07:29.591000+00:00,+01:00,functional-fitness,SCORED,48,13.794135,144,200,1275.7771,1.0,,,,625848,156694,170152,378756,530635,567174,0.6747836111111111,304.91804493307836,2025-10-27
a03e9101-8aac-4ebb-96fa-6cf2b72d7fb5,,22458861,2025-10-23T14:49:32.543Z,2025-10-23T14:49:37.084Z,2025-10-23 13:39:00.214000+00:00,2025-10-23 14:29:59.090000+00:00,+01:00,walking,SCORED,63,7.2521873,117,157,787.08026,1.0,,,,481651,2113914,447969,15381,0,0,0.8496877777777778,188.11669694072657,2025-10-20
a11d7161-5862-41dd-bce7-8ca6bbbdf3ca,,22458861,2025-10-22T05:42:03.496Z,2025-10-22T05:42:19.481Z,2025-10-22 05:00:17.722000+00:00,2025-10-22 05:42:02.901000+00:00,+01:00,functional-fitness,SCORED,48,10.734744,133,177,1068.9421,1.0,,,,436472,533526,544098,756544,234562,0,0.6958830555555556,255.48329349904395,2025-10-20
b492d1b9-2e6f-46b4-abde-962c18e89a80,,22458861,2025-10-20T16:31:23.146Z,2025-10-20T16:31:27.138Z,2025-10-20 15:42:00.573000+00:00,2025-10-20 16:16:29.304000+00:00,+02:00,walking,SCORED,63,4.939457,103,133,307.02557,1.0,,,,1079553,989217,0,0,0,0,0.5746475000000001,73.3808723709369,2025-10-20
012ba0be-0869-4555-8cbd-a6d34e56f2a2,,22458861,2025-10-19T16:49:56.409Z,2025-10-19T16:50:00.596Z,2025-10-19 15:36:00.121000+00:00,2025-10-19 16:29:59.723000+00:00,+02:00,functional-fitness,SCORED,48,14.221349,145,187,1688.7548,1.0,,,,83672,1262196,170155,366251,1168633,188734,0.8998894444444444,403.62208413001906,2025-10-13
9a1871d8-76b3-4eec-8db1-335aa85883dc,,22458861,2025-10-18T07:32:15.663Z,2025-10-18T07:32:21.278Z,2025-10-18 06:45:16.550000+00:00,2025-10-18 07:32:14.885000+00:00,+02:00,functional-fitness,SCORED,48,14.307911,153,192,1712.3416,1.0,,,,163462,119200,375868,1119929,886321,153809,0.7828708333333333,409.25946462715103,2025-10-13
24b104bd-051b-45bd-943d-e87fe3d39136,,22458861,2025-10-16T16:43:59.898Z,2025-10-16T16:44:03.936Z,2025-10-16 15:31:30.442000+00:00,2025-10-16 16:25:29.082000+00:00,+02:00,functional-fitness,SCORED,48,13.937472,141,185,1598.2722,1.0,,,,253824,1122804,182650,507571,993026,178804,0.8996222222222222,381.996223709369,2025-10-13
bfd17e43-beae-4a4e-92aa-be2b8dcab887,,22458861,2025-11-10T15:37:38.452Z,2025-11-10T15:37:43.015Z,2025-11-10 15:06:00.411000+00:00,2025-11-10 15:22:29.595000+00:00,+01:00,walking,SCORED,63,4.9644537,118,142,257.0766,1.0,,,,144196,841182,3845,0,0,0,0.2747733333333333,61.44278202676864,2025-11-10
951ade3a-c2e5-4bfc-b1d2-c8a44e202f94,,22458861,2025-11-09T10:16:47.416Z,2025-11-09T10:17:00.972Z,2025-11-09 09:30:39.462000+00:00,2025-11-09 10:16:46.642000+00:00,+01:00,functional-fitness,SCORED,48,14.071591,153,185,1654.3557,1.0,,,,51949,405672,378751,853641,892096,184569,0.768661111111111,395.4005019120459,2025-11-03
73fe7a0d-9767-4365-ae9a-48677f0dc83d,,22458861,2025-11-07T09:22:52.619Z,2025-11-07T09:22:57.224Z,2025-11-07 07:46:30.189000+00:00,2025-11-07 09:02:59.464000+00:00,+01:00,functional-fitness,SCORED,48,15.756347,147,191,2469.9192,1.0,,,,188455,1077623,768082,1166071,1038205,350878,1.274798611111111,590.3248565965582,2025-11-03
1a22bfb0-fc99-4585-aa9f-9763bedc0020,,22458861,2025-10-27T18:20:37.885Z,2025-10-27T18:20:42.696Z,2025-10-27 17:27:00.370000+00:00,2025-10-27 18:07:29.591000+00:00,+01:00,functional-fitness,SCORED,48,13.794135,144,200,1275.7771,1.0,,,,625848,156694,170152,378756,530635,567174,0.6747836111111111,304.91804493307836,2025-10-27
a03e9101-8aac-4ebb-96fa-6cf2b72d7fb5,,22458861,2025-10-23T14:49:32.543Z,2025-10-23T14:49:37.084Z,2025-10-23 13:39:00.214000+00:00,2025-10-23 14:29:59.090000+00:00,+01:00,walking,SCORED,63,7.2521873,117,157,787.08026,1.0,,,,481651,2113914,447969,15381,0,0,0.8496877777777778,188.11669694072657,2025-10-20
a11d7161-5862-41dd-bce7-8ca6bbbdf3ca,,22458861,2025-10-22T05:42:03.496Z,2025-10-22T05:42:19.481Z,2025-10-22 05:00:17.722000+00:00,2025-10-22 05:42:02.901000+00:00,+01:00,functional-fitness,SCORED,48,10.734744,133,177,1068.9421,1.0,,,,436472,533526,544098,756544,234562,0,0.6958830555555556,255.48329349904395,2025-10-20
b492d1b9-2e6f-46b4-abde-962c18e89a80,,22458861,2025-10-20T16:31:23.146Z,2025-10-20T16:31:27.138Z,2025-10-20 15:42:00.573000+00:00,2025-10-20 16:16:29.304000+00:00,+02:00,walking,SCORED,63,4.939457,103,133,307.02557,1.0,,,,1079553,989217,0,0,0,0,0.5746475000000001,73.3808723709369,2025-10-20
012ba0be-0869-4555-8cbd-a6d34e56f2a2,,22458861,2025-10-19T16:49:56.409Z,2025-10-19T16:50:00.596Z,2025-10-19 15:36:00.121000+00:00,2025-10-19 16:29:59.723000+00:00,+02:00,functional-fitness,SCORED,48,14.221349,145,187,1688.7548,1.0,,,,83672,1262196,170155,366251,1168633,188734,0.8998894444444444,403.62208413001906,2025-10-13
9a1871d8-76b3-4eec-8db1-335aa85883dc,,22458861,2025-10-18T07:32:15.663Z,2025-10-18T07:32:21.278Z,2025-10-18 06:45:16.550000+00:00,2025-10-18 07:32:14.885000+00:00,+02:00,functional-fitness,SCORED,48,14.307911,153,192,1712.3416,1.0,,,,163462,119200,375868,1119929,886321,153809,0.7828708333333333,409.25946462715103,2025-10-13
24b104bd-051b-45bd-943d-e87fe3d39136,,22458861,2025-10-16T16:43:59.898Z,2025-10-16T16:44:03.936Z,2025-10-16 15:31:30.442000+00:00,2025-10-16 16:25:29.082000+00:00,+02:00,functional-fitness,SCORED,48,13.937472,141,185,1598.2722,1.0,,,,253824,1122804,182650,507571,993026,178804,0.8996222222222222,381.996223709369,2025-10-13
bfd17e43-beae-4a4e-92aa-be2b8dcab887,,22458861,2025-11-10T15:37:38.452Z,2025-11-10T15:37:43.015Z,2025-11-10 15:06:00.411000+00:00,2025-11-10 15:22:29.595000+00:00,+01:00,walking,SCORED,63,4.9644537,118,142,257.0766,1.0,,,,144196,841182,3845,0,0,0,0.2747733333333333,61.44278202676864,2025-11-10
951ade3a-c2e5-4bfc-b1d2-c8a44e202f94,,22458861,2025-11-09T10:16:47.416Z,2025-11-09T10:17:00.972Z,2025-11-09 09:30:39.462000+00:00,2025-11-09 10:16:46.642000+00:00,+01:00,functional-fitness,SCORED,48,14.071591,153,185,1654.3557,1.0,,,,51949,405672,378751,853641,892096,184569,0.768661111111111,395.4005019120459,2025-11-03
73fe7a0d-9767-4365-ae9a-48677f0dc83d,,22458861,2025-11-07T09:22:52.619Z,2025-11-07T09:22:57.224Z,2025-11-07 07:46:30.189000+00:00,2025-11-07 09:02:59.464000+00:00,+01:00,functional-fitness,SCORED,48,15.756347,147,191,2469.9192,1.0,,,,188455,1077623,768082,1166071,1038205,350878,1.274798611111111,590.3248565965582,2025-11-03
1a22bfb0-fc99-4585-aa9f-9763bedc0020,,22458861,2025-10-27T18:20:37.885Z,2025-10-27T18:20:42.696Z,2025-10-27 17:27:00.370000+00:00,2025-10-27 18:07:29.591000+00:00,+01:00,functional-fitness,SCORED,48,13.794135,144,200,1275.7771,1.0,,,,625848,156694,170152,378756,530635,567174,0.6747836111111111,304.91804493307836,2025-10-27
a03e9101-8aac-4ebb-96fa-6cf2b72d7fb5,,22458861,2025-10-23T14:49:32.543Z,2025-10-23T14:49:37.084Z,2025-10-23 13:39:00.214000+00:00,2025-10-23 14:29:59.090000+00:00,+01:00,walking,SCORED,63,7.2521873,117,157,787.08026,1.0,,,,481651,2113914,447969,15381,0,0,0.8496877777777778,188.11669694072657,2025-10-20
a11d7161-5862-41dd-bce7-8ca6bbbdf3ca,,22458861,2025-10-22T05:42:03.496Z,2025-10-22T05:42:19.481Z,2025-10-22 05:00:17.722000+00:00,2025-10-22 05:42:02.901000+00:00,+01:00,functional-fitness,SCORED,48,10.734744,133,177,1068.9421,1.0,,,,436472,533526,544098,756544,234562,0,0.6958830555555556,255.48329349904395,2025-10-20
b492d1b9-2e6f-46b4-abde-962c18e89a80,,22458861,2025-10-20T16:31:23.146Z,2025-10-20T16:31:27.138Z,2025-10-20 15:42:00.573000+00:00,2025-10-20 16:16:29.304000+00:00,+02:00,walking,SCORED,63,4.939457,103,133,307.02557,1.0,,,,1079553,989217,0,0,0,0,0.5746475000000001,73.3808723709369,2025-10-20
012ba0be-0869-4555-8cbd-a6d34e56f2a2,,22458861,2025-10-19T16:49:56.409Z,2025-10-19T16:50:00.596Z,2025-10-19 15:36:00.121000+00:00,2025-10-19 16:29:59.723000+00:00,+02:00,functional-fitness,SCORED,48,14.221349,145,187,1688.7548,1.0,,,,83672,1262196,170155,366251,1168633,188734,0.8998894444444444,403.62208413001906,2025-10-13
9a1871d8-76b3-4eec-8db1-335aa85883dc,,22458861,2025-10-18T07:32:15.663Z,2025-10-18T07:32:21.278Z,2025-10-18 06:45:16.550000+00:00,2025-10-18 07:32:14.885000+00:00,+02:00,functional-fitness,SCORED,48,14.307911,153,192,1712.3416,1.0,,,,163462,119200,375868,1119929,886321,153809,0.7828708333333333,409.25946462715103,2025-10-13
24b104bd-051b-45bd-943d-e87fe3d39136,,22458861,2025-10-16T16:43:59.898Z,2025-10-16T16:44:03.936Z,2025-10-16 15:31:30.442000+00:00,2025-10-16 16:25:29.082000+00:00,+02:00,functional-fitness,SCORED,48,13.937472,141,185,1598.2722,1.0,,,,253824,1122804,182650,507571,993026,178804,0.8996222222222222,381.996223709369,2025-10-13
bfd17e43-beae-4a4e-92aa-be2b8dcab887,,22458861,2025-11-10T15:37:38.452Z,2025-11-10T15:37:43.015Z,2025-11-10 15:06:00.411000+00:00,2025-11-10 15:22:29.595000+00:00,+01:00,walking,SCORED,63,4.9644537,118,142,257.0766,1.0,,,,144196,841182,3845,0,0,0,0.2747733333333333,61.44278202676864,2025-11-10
951ade3a-c2e5-4bfc-b1d2-c8a44e202f94,,22458861,2025-11-09T10:16:47.416Z,2025-11-09T10:17:00.972Z,2025-11-09 09:30:39.462000+00:00,2025-11-09 10:16:46.642000+00:00,+01:00,functional-fitness,SCORED,48,14.071591,153,185,1654.3557,1.0,,,,51949,405672,378751,853641,892096,184569,0.768661111111111,395.4005019120459,2025-11-03
73fe7a0d-9767-4365-ae9a-48677f0dc83d,,22458861,2025-11-07T09:22:52.619Z,2025-11-07T09:22:57.224Z,2025-11-07 07:46:30.189000+00:00,2025-11-07 09:02:59.464000+00:00,+01:00,functional-fitness,SCORED,48,15.756347,147,191,2469.9192,1.0,,,,188455,1077623,768082,1166071,1038205,350878,1.274798611111111,590.3248565965582,2025-11-03
1a22bfb0-fc99-4585-aa9f-9763bedc0020,,22458861,2025-10-27T18:20:37.885Z,2025-10-27T18:20:42.696Z,2025-10-27 17:27:00.370000+00:00,2025-10-27 18:07:29.591000+00:00,+01:00,functional-fitness,SCORED,48,13.794135,144,200,1275.7771,1.0,,,,625848,156694,170152,378756,530635,567174,0.6747836111111111,304.91804493307836,2025-10-27
